#,group,uid,age,real_age,sex,gt,number_of_runs,run_speed,run_max_variation,front_bos,hind_bos,front_strlen,hind_strlen,front_swingspd,hind_swingspd,front_stepcyc,hind_stepcyc
2,"1,2",46538,1,10,1,0,1,15.41218,31,1.056911,2.713415,6.35804,6.300899,56.75215,59.45126,0.333802,0.343796
3,"1,2",49660,1,10,0,1,3,24.07723,29.33333,1.411043,2.211043,7.62446,8.053562,65.83371,55.23224,0.305293,0.341348
5,"1,2",76598,2,17,1,2,1,47.3368,32,1.280488,1.95122,8.395746,8.047825,105.2138,99.35285,0.165603,0.163113
6,"1,2",101124,2,17,1,2,2,17.83291,44.5,1.345274,2.398374,4.864162,4.939899,50.16269,55.42127,0.238801,0.237218
8,"1,2",329570,2,17,1,0,3,32.85903,33,1.290126,2.414634,7.452989,7.371673,76.52284,72.31086,0.218382,0.219592
9,"1,2",332630,2,17,1,0,1,38.60616,28,1.325203,2.102207,7.32991,6.430943,123.6957,72.74319,0.180307,0.174081
10,"1,2",340336,1,10,0,0,3,33.63006,16,1.341125,2.266328,7.961789,7.958801,75.30643,76.49099,0.238226,0.235321
11,"1,2",356810,1,10,1,0,2,30.72404,29.5,1.473956,2.533259,7.051678,6.980875,73.12411,74.63691,0.248647,0.249085
12,"1,2",357968,1,10,1,0,2,34.982,22.5,1.163511,2.219512,8.736722,8.619309,84.67023,77.08662,0.23826,0.242183
13,"1,2",363276,2,17,0,1,3,24.82714,22.66667,1.397028,2.100274,7.945828,8.114027,90.14525,83.18874,0.304904,0.325315
14,"1,2",710079,2,17,0,0,3,16.49317,45.66667,1.422684,2.580194,5.915784,5.866744,46.59789,47.83597,0.323824,0.323025
15,"1,2",711195,2,17,1,2,3,25.81932,50,1.512364,2.534952,6.348702,6.511056,76.17297,77.47789,0.186383,0.190658
16,"1,2",713664,2,17,1,1,1,13.30085,22,1.284843,2.469512,5.486347,6.130139,42.80287,34.77039,0.391802,0.430495
17,"1,2",722332,2,17,0,1,3,44.37313,25.66667,1.211128,2.161375,8.646778,8.561759,94.4378,92.39475,0.196459,0.198939
20,"1,2",752776,1,10,1,0,3,22.12786,42,1.450598,2.592924,6.147216,6.180115,60.33912,56.47667,0.250332,0.244803
21,"1,2",816229,1,10,1,0,2,32.67661,30.5,1.183901,2.685714,8.436615,8.270981,70.45579,68.14874,0.237381,0.247572
22,"1,2",824767,1,10,1,2,1,44.08675,20,1.085366,2.341463,7.761006,7.717274,90.01595,84.40804,0.169568,0.172062
23,"1,2",824866,2,17,0,0,1,15.80157,34,1.420732,2.768293,5.816643,5.726085,71.19224,62.65906,0.300314,0.292313
24,"1,2",828128,1,10,0,0,3,24.74976,19.33333,1.404181,2.415312,6.630702,6.336045,62.92429,60.05773,0.263484,0.265586
25,"1,2",842394,1,10,0,0,3,45.03326,10.33333,1.178862,2.166421,8.195689,8.212285,93.49303,97.86341,0.177273,0.177181
26,"1,2",864995,1,10,0,2,3,21.77791,9,1.319296,2.501982,6.089397,5.583508,83.52952,62.02977,0.27325,0.25627
27,"1,2",878065,1,10,0,2,3,51.79098,14.33333,1.342971,2.130081,7.620808,7.205398,108.1146,109.9589,0.15196,0.143471
28,"1,2",883227,1,10,1,2,2,60.96621,10.5,0.963736,1.90292,8.638722,8.633808,127.5861,127.704,0.138664,0.136618
29,"1,2",892700,1,10,0,2,3,15.96491,25.66667,1.178871,2.651166,5.523134,4.898612,45.36912,62.33461,0.322553,0.284116
30,"1,2",893529,1,10,0,2,1,45.22297,31,1.109756,2.063008,7.50748,7.21631,106.3401,100.1504,0.153334,0.159308
31,"1,2",895039,1,10,0,1,3,17.6553,28.66667,1.119615,2.39429,6.836335,6.756812,51.00402,53.12316,0.369502,0.372424
32,"1,2",905249,2,17,0,1,1,17.23422,24,1.359974,2.75588,5.337202,5.198591,54.08279,67.79446,0.286768,0.293185
34,"1,2",910389,2,17,0,2,2,20.84032,39,1.300185,2.605691,5.186755,5.169998,64.76918,62.79981,0.217978,0.221782
35,"1,2",910594,1,10,0,2,2,17.94926,31.5,1.233583,2.556285,5.60209,5.187498,53.01946,60.5247,0.272709,0.256879
36,"1,2",911466,2,17,1,2,1,23.0681,11,1.346908,2.726481,5.503322,5.641568,69.12045,88.86606,0.231506,0.229604
37,"1,2",912621,2,17,0,1,3,15.95533,26.33333,1.158537,2.137356,6.238201,6.210615,47.30035,47.1068,0.36628,0.372206
38,"1,2",917727,1,10,0,0,1,23.50751,27,1.29065,2.154472,6.814278,6.802448,58.07593,61.09427,0.277786,0.283782
39,"1,2",939224,1,10,1,0,2,39.52309,43,1.003326,2.509606,7.496235,7.040027,89.83514,84.13055,0.185084,0.179654
40,"1,2",950230,1,10,0,1,2,30.18387,22,1.329268,2.174797,7.67776,7.506544,74.23053,63.49674,0.234734,0.233676
41,"1,2",952212,2,17,1,1,2,15.47702,50.5,1.516841,2.697764,5.587558,5.16381,57.06227,49.80245,0.278147,0.266325
42,"1,2",952642,2,17,1,0,3,20.53259,27.66667,1.08101,2.32991,6.147703,6.402474,52.48081,47.6356,0.298316,0.303261
43,"1,2",954125,2,17,1,2,3,19.48566,25,1.324526,2.544339,5.883355,5.741232,50.56438,54.84659,0.294093,0.284255
44,"1,2",960528,1,10,0,2,2,34.17258,20,1.236142,2.01324,6.93958,5.758529,75.47165,95.39498,0.203131,0.182348
45,"1,2",961027,2,17,1,0,1,17.69649,33,1.532012,2.539199,5.877193,6.224781,67.09271,51.33201,0.300602,0.331543
46,"1,2",965743,1,10,0,1,2,17.35071,30.5,1.072022,2.469689,6.898085,6.909733,51.20015,41.13658,0.366109,0.361288
49,3,57902,0,4,1,1,6,41.63516,23.33333,1.485507,2.041454,8.305229,7.940853,87.20555,75.27825,0.192976,0.192605
50,3,68404,0,4,1,0,8,37.41602,28.25,1.291953,2.407369,6.601818,6.553392,86.64172,77.66579,0.191486,0.203011
51,3,88979,0,4,1,1,4,40.06613,20.5,1.52489,2.008507,8.239549,8.091147,85.90717,77.70982,0.198981,0.200288
52,3,89430,0,4,1,0,4,56.49859,16.5,1.309662,2.120773,8.517141,8.41722,112.6214,101.0863,0.147632,0.149986
53,3,89711,0,4,0,1,7,28.09905,22.28571,1.331039,2.238242,6.962686,6.265987,65.33624,60.40124,0.251144,0.226197
54,3,92178,0,4,0,1,11,41.11792,20.81818,1.296407,2.355539,7.702731,7.210754,83.11469,78.36009,0.226887,0.211928
55,3,127525,1,10,0,1,3,31.28857,28,1.160725,1.945942,7.102129,7.035224,74.35873,78.82379,0.222784,0.229074
56,3,145925,2,17,1,2,6,37.94089,15.66667,1.283213,2.322833,7.628608,7.440669,82.66038,76.74181,0.194938,0.193738
57,3,199398,2,17,1,2,8,35.93061,15.75,1.303868,2.434996,6.916219,6.911809,76.51336,76.73673,0.18928,0.191403
60,3,711239,2,17,1,1,5,30.06912,11.8,1.286383,2.674656,7.277449,7.324594,61.56307,71.32471,0.246143,0.244986
62,3,827682,1,10,1,2,4,32.38606,27.25,1.308877,2.360559,7.046142,7.19518,81.52252,81.00867,0.203994,0.206001
63,3,827696,2,17,0,0,4,35.1409,13,1.340373,2.481777,6.964377,6.867658,78.50795,76.53124,0.18981,0.1906
64,3,835781,0,4,0,2,7,45.54215,26.42857,1.549994,2.385183,7.678943,7.46179,88.00236,84.3598,0.246965,0.249026
65,3,835835,0,4,0,2,4,34.13373,20.25,1.343599,2.220079,6.550907,6.538091,80.56091,68.43176,0.179421,0.187699
66,3,841582,0,4,0,1,8,47.48344,34,1.189685,2.220468,7.500395,7.439527,91.10059,80.51043,0.171588,0.177404
67,3,842128,1,10,0,2,4,39.55498,41,1.620232,2.287326,8.085308,7.220532,89.70628,89.28196,0.189664,0.18343
68,3,844205,0,4,0,2,8,50.1186,11.875,1.3138,1.932367,8.080362,7.935862,94.87979,85.75992,0.166154,0.16684
69,3,856201,0,4,0,1,4,42.65777,24,1.564509,2.127214,6.722261,6.517881,90.66511,90.62337,0.167372,0.167032
71,3,883663,0,4,0,2,5,46.88371,14.2,1.394496,2.21596,8.762883,8.691103,90.25822,78.45246,0.189908,0.192954
72,3,883766,0,4,1,0,6,35.35815,21.66667,1.266606,2.015438,7.335123,6.893067,75.90769,69.44837,0.209771,0.193198
73,3,892664,0,4,0,0,9,28.25139,28.88889,1.353742,2.109627,6.38984,6.279523,64.7675,61.83551,0.251627,0.254514
74,3,893004,0,4,0,1,7,50.46117,20.71429,1.317603,2.436731,8.333848,7.954773,102.682,94.09915,0.161384,0.16189
75,3,893967,2,17,1,0,4,31.79093,14.25,1.289251,2.419988,8.748914,8.680792,71.20081,66.42833,0.261953,0.267933
77,3,909910,2,17,1,1,8,44.10195,18.125,1.260735,2.507716,8.677455,8.628616,88.76019,84.04858,0.198741,0.203431
78,3,913913,0,4,1,2,3,35.8175,21.66667,1.609903,2.03722,7.838024,6.489683,77.54191,65.75999,0.215784,0.172587
79,3,913948,0,4,0,0,7,41.76233,32.71429,1.331971,2.13592,7.618154,7.35014,108.5093,83.01359,0.165985,0.166578
80,3,914011,0,4,1,2,3,31.25155,18,1.446415,2.319476,7.568838,7.388827,75.4847,73.26167,0.23168,0.233981
81,3,914030,0,4,1,2,7,39.81061,32.85714,1.258223,1.939664,7.199108,7.021036,82.76489,73.40224,0.171052,0.178913
82,3,914073,0,4,0,2,7,50.70566,22,1.355887,2.116148,8.325721,7.965461,93.28237,82.4037,0.162212,0.159781
83,3,914328,0,4,0,0,3,30.07983,19.33333,1.319444,2.133756,6.794937,6.922175,75.00274,64.70686,0.224571,0.235271
84,3,916472,0,4,0,0,6,32.46465,25.33333,1.347413,2.429156,7.778816,7.545102,74.96756,64.59776,0.22302,0.235721
85,3,921766,0,4,0,2,8,36.59949,26.5,1.299788,2.122947,7.988065,7.713383,81.11379,75.53491,0.228302,0.216619
87,3,931495,2,17,0,1,4,38.52277,36.5,1.124021,2.426703,8.60046,8.469441,89.0743,82.92348,0.199553,0.213482
90,3,966069,0,4,1,0,5,30.95224,28.6,1.398835,1.967564,7.116661,7.048147,67.40115,61.40567,0.230546,0.241816
91,3,967984,0,4,0,2,8,49.39487,17,1.348363,2.36715,8.598768,8.815761,92.55657,87.14371,0.192109,0.196575
92,3,968070,0,4,0,1,5,48.68387,18.8,1.425121,2.492754,8.799342,8.606556,98.82554,84.62205,0.168126,0.172116
93,3,968190,0,4,1,1,8,47.40912,19.125,1.488252,2.557303,9.12366,8.50475,97.35495,90.03611,0.195901,0.197811
94,3,968251,2,17,0,0,5,32.96726,13.6,1.225668,2.446342,8.302858,8.265274,67.01288,58.8716,0.263407,0.26168
96,3,985344,0,4,1,2,7,43.6288,24,1.393129,2.201151,7.119138,7.109576,90.43426,80.20885,0.165208,0.172752
103,Sher,935021,2,17,0,2,3,38.28183,20.66667,1.457358,2.914385,7.013646,6.674297,86.07632,93.04978,0.172326,0.17125
104,Sher,928211,2,17,0,0,3,80.6946,25.66667,1.384863,2.134185,10.26612,9.578799,141.0634,150.3924,0.128035,0.115895
105,Sher,917329,2,17,1,2,3,48.25851,31.66667,1.164635,2.602657,8.450353,7.966235,98.56617,95.59031,0.156002,0.157985
106,Sher,959373,2,17,1,2,3,22.96946,47.33333,1.493425,2.616426,6.690109,5.996569,59.63328,50.47595,0.265757,0.26916
107,Sher,898958,2,17,0,2,3,39.61615,21.33333,1.312291,2.448161,6.933908,6.368592,86.53907,83.14301,0.166481,0.161992
108,Sher,910982,2,17,1,2,3,26.52431,38,1.922479,2.668549,5.393589,5.199037,65.72078,67.49528,0.190168,0.197229
109,Sher,903836,2,17,1,2,3,30.00413,28.66667,1.468599,2.290373,5.715982,5.414029,85.37657,83.18943,0.19087,0.186929
110,Sher,895824,2,17,1,2,3,32.88313,19.66667,1.577528,2.331619,5.848378,5.897568,76.73984,76.71864,0.170595,0.173001
111,Sher,903124,1,10,0,2,3,53.34271,40.33333,1.274155,2.146083,7.958299,8.148007,112.6453,113.9531,0.144092,0.142241
112,Sher,880983,1,10,0,2,3,64.08852,15.33333,1.152833,2.339271,8.567436,8.115062,135.0181,110.236,0.122521,0.118866
113,Sher,355524,1,10,0,0,3,24.64407,26.33333,1.50488,2.928549,5.006725,5.513098,74.58681,86.26527,0.200668,0.224857
114,Sher,945644,1,10,0,0,3,21.91618,36.66667,1.382386,2.610786,6.657336,6.630797,53.81445,57.61887,0.285745,0.282244
115,Sher,828160,1,10,0,0,2,41.93085,19,1.700483,2.327697,7.681058,7.622282,91.54542,91.19668,0.16951,0.176763
116,Sher,840438,1,10,0,0,3,54.38228,12.33333,1.273201,2.203788,9.261162,9.050355,107.3957,104.1257,0.161145,0.158035
117,Sher,359060,1,10,0,0,3,42.11136,14.33333,1.443237,2.663043,8.470649,8.392762,91.84173,84.19439,0.188888,0.196868
118,Sher,936478,1,10,0,0,3,27.21485,30.33333,1.44938,2.837101,6.777216,7.115836,75.89658,74.88769,0.233305,0.254522
119,Sher,832316,1,10,0,0,2,31.24942,17.5,1.298309,2.608696,8.364773,8.350426,81.16892,88.37212,0.249139,0.248144
120,Sher,733388,1,10,1,2,2,59.97695,22.5,1.286232,2.056159,7.871127,7.728082,127.4507,109.8801,0.120579,0.123905
121,Sher,842028,1,10,1,2,4,19.18938,22,1.392411,2.420491,6.512575,6.436543,47.10013,47.88343,0.315891,0.320528
122,Sher,891122,1,10,1,2,2,38.75832,37,1.355712,2.516624,7.456595,7.443095,82.33813,77.49259,0.179275,0.184663
123,Sher,968004,1,10,1,2,2,47.96917,35,1.458333,2.36413,7.441438,7.359234,100.3601,91.66145,0.141327,0.144651
124,Sher,828046,1,10,1,0,2,65.09982,19.5,1.020129,2.354608,8.04778,8.244322,142.0007,128.1178,0.117868,0.116372
125,Sher,911074,1,10,1,0,3,32.20674,28.33333,1.185675,2.306957,7.749713,7.516264,79.02071,70.35305,0.213641,0.218473
126,Sher,841574,1,10,1,0,3,58.45097,32.66667,1.385151,2.415459,8.732436,8.202124,127.85,112.0173,0.144911,0.143734
127,Sher,719177,1,10,1,0,2,44.93817,23.5,1.38587,2.623792,8.357122,8.3367,96.20986,90.13966,0.177405,0.181387
128,Sher,89044,1,10,0,2,3,60.84462,21,1.182525,2.55314,8.127834,7.63832,126.9215,116.5982,0.12508,0.120899
129,Sher,967630,1,10,0,2,3,34.06649,17,1.324566,2.688507,5.596676,5.34629,104.0966,89.20176,0.152312,0.152574
130,Sher,968176,1,10,0,0,2,26.07201,17,1.438406,2.483696,6.252355,6.212261,60.0475,63.61083,0.22888,0.228884
131,Sher,967865,1,10,0,0,2,34.44112,20.5,1.485507,2.503221,7.749542,7.701342,88.22584,81.01532,0.210232,0.215573
132,Sher,968031,1,10,0,0,3,39.02017,25,1.431159,2.695401,7.592897,7.383026,94.01505,86.1961,0.178376,0.18778
133,Sher,842702,1,10,1,2,3,37.25904,32.33333,1.571488,2.235507,6.387884,6.135415,105.9484,82.90809,0.154867,0.148975
134,Sher,967383,1,10,1,2,3,51.7949,33,1.201037,2.246639,7.877284,7.735961,115.8321,98.27377,0.138945,0.146514
135,Sher,937832,1,10,1,0,2,41.29226,27.5,1.210749,2.249396,8.71963,8.631628,92.47802,85.275,0.189526,0.194516
136,Sher,83711,1,10,1,0,2,36.52099,17,1.710145,2.75161,7.904806,7.858657,89.11463,82.72765,0.194443,0.19899
137,Sher,83133,1,10,1,0,3,45.62037,16,1.272645,2.537742,8.529916,8.501654,102.9957,84.25098,0.176933,0.184066
138,Sher,936356,0,4,0,2,3,75.81824,17.33333,1.391749,1.903899,9.056992,8.797066,152.6506,136.0933,0.10879,0.11224
139,Sher,885691,0,4,0,2,2,74.05647,29.5,1.316425,2.210145,10.09241,9.939298,145.3437,139.3674,0.125923,0.127179
140,Sher,965377,0,4,0,0,2,57.60445,11,1.364734,2.789855,9.754517,9.678603,109.0637,105.4398,0.15745,0.157453
141,Sher,893276,0,4,0,0,2,54.55379,23,1.140375,2.403382,9.267424,9.199943,112.7455,88.53396,0.155242,0.15968
142,Sher,916408,0,4,0,0,3,49.15029,18.33333,1.421095,2.51409,8.795571,8.742834,100.044,98.74292,0.173804,0.17648
143,Sher,856012,0,4,0,0,2,21.00665,38.5,1.49849,2.578439,5.928672,6.382012,67.78003,58.7977,0.266548,0.290982
144,Sher,885617,0,4,0,0,3,72.89579,13,0.939898,2.257783,9.871102,9.59783,129.3531,133.8157,0.126024,0.127989
145,Sher,937428,0,4,1,2,2,72.00351,30.5,1.074879,2.124675,9.371426,9.48433,122.7475,130.3802,0.136009,0.130879
146,Sher,856388,0,4,1,2,2,51.94324,38.5,1.330435,2.157609,7.511716,7.547544,107.5276,93.40639,0.145191,0.150498
147,Sher,892663,0,4,1,2,3,60.18753,18.66667,1.414553,2.111514,8.985208,8.928004,134.7384,110.4843,0.129927,0.136614
148,Sher,913583,0,4,1,0,2,39.14145,30.5,1.507246,2.414696,7.158839,6.427232,111.1867,90.907,0.159603,0.147631
149,Sher,892507,0,4,1,0,2,80.80446,14.5,1.256039,2.342995,10.06399,9.968165,153.8689,148.3503,0.116969,0.118213
150,Sher,913889,0,4,1,0,2,27.68375,33,1.38587,2.173913,6.634483,6.551196,73.22882,68.12124,0.223167,0.234584
151,Sher,908601,0,4,1,0,2,75.40715,14,1.376812,2.36715,9.878853,9.787485,148.4312,132.9248,0.121072,0.123568
